customer_id,customer_name,gender,birth_year,city,province,join_date,membership
C20000,Hendra Ramadhan,Wanita,2000,Yogyakarta,DI Yogyakarta,2023-04-25,Basic
C20001,Fitri Ramadhan,Wanita,1994,Yogyakarta,DI Yogyakarta,2023-12-20,
C20002,Teguh Pratama,Wanita,1997,Tangerang,Banten,2022-05-18,Silver
C20003,Teguh Hidayat,Wanita,1983,Jakarta Selatan,DKI Jakarta,2024-01-23,Basic
C20004,Teguh Ramadhan,Wanita,1994,bandung,Jawa Barat,2024-08-12,Basic
C20005,Vina Nugroho,Pria,1976,Malang,Jawa Timur,2023-04-29,Gold
C20006,Bayu Ramadhan,Pria,1978,Bekasi,Jawa Barat,2022-07-01,Basic
C20007,Ayu Utami,Wanita,1986,Tangerang,Banten,2022-08-19,Basic
C20008,Fajar Saputra,Pria,1992,Tangerang,Banten,2023-03-11,Silver
C20009,Rizky Hidayat,Wanita,1974,Surabaya,Jawa Timur,2023-08-04,Basic
C20010,Andi Permana,Wanita,1989,Tangerang,Banten,2024-05-01,Basic
C20011,Teguh Santoso,Pria,1997,Surabaya,Jawa Timur,2022-07-19,Basic
C20012,Iqbal Setiawan,Pria,1995,Jakarta Barat,DKI Jakarta,2022-12-16,Silver
C20013,Bayu Nugroho,Wanita,1990,Yogyakarta,DI Yogyakarta,2023-11-29,Silver
C20014,Agus Pratama,Wanita,1993,Tangerang Selatan,Banten,2023-10-28,Basic
C20015,Citra Nugroho,Pria,1972,Yogyakarta,DI Yogyakarta,2024-04-28,Basic
C20016,Wahyu Halim,Wanita,1989,Tangerang Selatan,Banten,2023-06-21,Basic
C20017,Siti Setiawan,Pria,1978,jakarta selatan,DKI Jakarta,2023-05-07,Basic
C20018,Hendra Halim,Pria,1997,Jakarta Timur,DKI Jakarta,2022-01-25,Basic
C20019,Andi Ramadhan,Wanita,1971,Semarang,Jawa Tengah,2022-09-17,Basic
C20020,Dimas Kusuma,Wanita,1993,Tangsel,Banten,2022-12-08,
C20021,Intan Kusuma,Pria,1979,Palembang,Sumatera Selatan,2023-12-15,Basic
C20022,Dimas Hidayat,Wanita,1999,Jogja,DI Yogyakarta,2023-11-26,Silver
C20023,Vina Kusuma,Wanita,2002,SBY,Jawa Timur,2022-12-19,Basic
C20024,Ayu Pratama,Wanita,1989,Jakbar,DKI Jakarta,2022-09-06,
C20025,Citra Setiawan,Wanita,1998,Bekasi,Jawa Barat,2024-03-20,Basic
C20026,Anisa Pratama,Pria,1994,SBY,Jawa Timur,2024-06-04,Silver
C20027,Anisa Santoso,Wanita,1992,Bekasi,Jawa Barat,2022-11-05,Silver
C20028,Arif Anggraini,Wanita,1975,Jakarta Barat,DKI Jakarta,2022-10-22,Gold
C20029,Intan Pratama,,1997,Surabaya ,Jawa Timur,2022-01-27,Basic
C20030,Yoga Rahayu,Pria,1972,Jakarta Selatan,DKI Jakarta,2024-08-31,Silver
C20031,Fitri Halim,Wanita,1970,Palembang,Sumatera Selatan,2023-10-30,Silver
C20032,Budi Kusuma,Pria,1971,Tangerang Selatan,Banten,2022-06-27,Basic
C20033,Intan Utami,Wanita,1999,Semarang,Jawa Tengah,2023-06-26,Basic
C20034,Teguh Nugroho,Pria,1976,Jaktim,DKI Jakarta,2023-06-05,Silver
C20035,Nurul Halim,Wanita,1984,Jakarta Selatan,DKI Jakarta,2022-06-12,Basic
C20036,Agus Nugroho,Pria,1988,Denpasar,Bali,2023-08-17,Gold
C20037,Rani Wijaya,Pria,1976,Tangerang Selatan,Banten,2023-12-21,Basic
